sim_id,path_type,depth_input_mm,total_time,status,param_radius,param_num_passes,timestamp,max_depth_mm,avg_depth_mm,depth_std_mm,min_z_coord,max_z_coord,max_stress_MPa,avg_stress_MPa,stress_std_MPa,max_strain,avg_strain,strain_std,formed_diameter_x_mm,formed_diameter_y_mm,formed_area_mm2,num_nodes,num_stress_values,num_strain_values,param_amplitude,param_k_petals,param_num_rotations,param_max_radius,param_major_axis,param_minor_axis,param_side_length,param_width,param_height,param_num_lines,param_outer_radius,param_inner_radius,param_num_points_star,param_num_cycles,param_min_radius,param_num_circles,param_freq_x,param_freq_y,param_num_periods
66,lissajous,2.5,75.0,FAILED,,,2026-02-13T05:35:13.447636,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,4.0,3.0,4.0
67,ellipse,2.0,55.0,FAILED,,,2026-02-13T05:42:22.138868,,,,,,,,,,,,,,,,,,,,1.0,,16.0,6.7,,,,,,,,,,,,,
68,spiral,4.5,60.0,SUCCESS,,,2026-02-13T05:43:39.538770,1.6,1.097,0.717,0.0,1.6,299.7,11.36,27.33,0.5774,0.029702,0.126772,65.0,65.0,4225.0,1903.0,78412.0,30230.0,,,2.0,8.0,,,,,,,,,,,,,,,
69,circular,4.5,75.0,SUCCESS,7.0,,2026-02-13T05:48:02.336072,1.6,1.095,0.719,0.0,1.6,299.1,11.22,26.93,0.5774,0.029827,0.126937,65.0,65.0,4225.0,1896.0,78001.0,30149.0,,,4.0,,,,,,,,,,,,,,,,
70,lissajous,1.0,65.0,SUCCESS,,,2026-02-13T05:49:34.391590,1.6,1.091,0.736,0.0,1.6,224.8,3.83,12.67,0.5774,0.032641,0.132981,65.0,65.0,4225.0,1947.0,64064.0,28533.0,14.0,,,,,,,,,,,,,,,,3.0,5.0,3.0
71,lissajous,6.0,50.0,SUCCESS,,,2026-02-13T05:51:54.903725,1.6,1.092,0.719,0.0,1.6,304.0,11.29,26.54,0.5774,0.030503,0.127966,65.0,65.0,4225.0,1883.0,79095.0,29670.0,8.0,,,,,,,,,,,,,,,,4.0,3.0,4.0
72,ellipse,1.0,60.0,SUCCESS,,,2026-02-13T05:56:39.666823,1.6,1.099,0.725,0.0,1.6,259.4,6.64,19.22,0.7111,0.032562,0.13259,65.0,65.0,4225.0,1947.0,64470.0,29205.0,,,3.0,,16.0,7.7,,,,,,,,,,,,,
73,spiral,6.0,75.0,UPLOAD_FAILED,,,2026-02-13T05:57:04.198346,,,,,,,,,,,,,,,,,,,,5.0,13.0,,,,,,,,,,,,,,,
74,spiral_inward,5.0,65.0,UPLOAD_FAILED,,,2026-02-13T05:57:05.305014,,,,,,,,,,,,,,,,,,,,4.0,14.0,,,,,,,,,,,,,,,
75,rose,1.5,75.0,SUCCESS,,,2026-02-13T05:58:46.212380,1.6,1.099,0.726,0.0,1.6,263.3,6.82,20.05,0.5774,0.03161,0.131089,65.0,65.0,4225.0,1951.0,67229.0,28843.0,8.0,6.0,2.0,,,,,,,,,,,,,,,,
76,hexagon,1.0,45.0,SUCCESS,11.0,1.0,2026-02-13T06:00:50.727792,1.6,1.097,0.729,0.0,1.6,264.2,5.87,18.52,0.5774,0.032081,0.132,65.0,65.0,4225.0,1951.0,63424.0,28640.0,,,,,,,,,,,,,,,,,,,
77,hexagon,6.0,40.0,SUCCESS,7.0,1.0,2026-02-13T06:02:06.638766,1.6,1.1,0.71,0.0,1.6,307.8,14.27,31.77,0.5774,0.02919,0.125689,65.0,65.0,4225.0,1884.0,82536.0,30785.0,,,,,,,,,,,,,,,,,,,
78,spiral_inward,5.0,65.0,SUCCESS,,,2026-02-13T06:05:47.272159,1.6,1.104,0.711,0.0,1.6,304.6,13.47,30.82,0.5774,0.0289,0.125312,65.0,65.0,4225.0,1914.0,83000.0,30981.0,,,5.0,12.0,,,,,,,,,,,,,,,
79,concentric,8.0,55.0,FAILED,,,2026-02-13T06:08:06.173641,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,5.0,6.0,,,
80,hexagon,2.0,60.0,SUCCESS,9.0,3.0,2026-02-13T06:12:36.111400,1.6,1.098,0.724,0.0,1.6,272.9,7.69,21.21,0.5774,0.031112,0.130004,65.0,65.0,4225.0,1939.0,68565.0,28720.0,,,,,,,,,,,,,,,,,,,
81,circular,7.5,45.0,SUCCESS,4.0,,2026-02-13T06:13:52.422126,1.6,1.1,0.704,0.0,1.6,317.1,17.54,36.73,0.5774,0.028849,0.124859,65.0,65.0,4225.0,1859.0,86112.0,31223.0,,,1.0,,,,,,,,,,,,,,,,
82,circular,2.5,45.0,SUCCESS,8.0,,2026-02-13T06:17:49.830555,1.6,1.099,0.722,0.0,1.6,263.4,8.83,23.38,0.5774,0.030457,0.128669,65.0,65.0,4225.0,1933.0,72456.0,29298.0,,,3.0,,,,,,,,,,,,,,,,
83,hexagon,5.5,75.0,FAILED,16.0,2.0,2026-02-13T06:20:56.965627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,spiral,4.0,50.0,SUCCESS,,,2026-02-13T06:23:05.119954,1.6,1.097,0.718,0.0,1.6,289.7,11.07,26.75,0.5774,0.029577,0.126566,65.0,65.0,4225.0,1905.0,77802.0,30335.0,,,4.0,9.0,,,,,,,,,,,,,,,
85,circular,3.5,70.0,SUCCESS,11.0,,2026-02-13T06:29:58.240181,1.6,1.091,0.721,0.0,1.6,328.2,10.38,25.89,1.057,0.030929,0.129339,65.0,65.0,4225.0,1887.0,73565.0,29262.0,,,3.0,,,,,,,,,,,,,,,,
86,circular,2.0,70.0,SUCCESS,11.0,,2026-02-13T06:36:35.846938,1.6,1.098,0.724,0.0,1.6,276.4,7.76,21.55,0.5774,0.031314,0.130245,65.0,65.0,4225.0,1935.0,67969.0,28587.0,,,3.0,,,,,,,,,,,,,,,,
87,figure8,6.5,70.0,SUCCESS,,,2026-02-13T06:38:40.394991,1.6,1.097,0.716,0.0,1.6,320.5,12.96,30.19,0.5774,0.029589,0.126109,65.0,65.0,4225.0,1894.0,82191.0,30762.0,8.0,,,,,,,,,,,,,1.0,,,,,
88,circular,4.0,70.0,UPLOAD_FAILED,6.0,,2026-02-13T06:39:04.714980,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,
89,concentric,7.5,55.0,SUCCESS,,,2026-02-13T06:41:01.639091,1.6,1.093,0.71,0.0,1.6,330.6,15.74,34.13,0.5774,0.029534,0.125844,65.0,65.0,4225.0,1849.0,83324.0,30742.0,,,,7.0,,,,,,,,,,,3.0,4.0,,,
